01 N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;;;;;;;;;
;;;;;;;;;;;;
Categoria :TODAS;;;;;;;;;;;;
SubCategoria :TODAS;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Familia;Sub-Familia;Codigo;Codigo Comercial;Descricao;Peso Embalagem;Peso Produto;Unidade Caixa;Caixa por Pallet;M3 por Caixa;M3 por Produto;Unidade Medida Padrao;Unidade Medida Provedor
AGULHAS;ETIQUETADEIRA;2888;2888;AGULHA P/ETIQUET. DENNISON;0,005;0,005;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;FECHADEIRA DE BRACO;8328;8328;AGULHA  B 64 GB 130/21 INTERLOQUE 75045*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;FECHADEIRA DE BRACO;9409;9409;AGULHA TV X 1  90/14 GB*;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;10216;10216;AGULHA GALONEIRA UY 128  090/14 GB 70507;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8860;8860;AGULHA GALONEIRA B 63 - 070/10 GB 77431;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8861;8861;AGULHA GALONEIRA B 63 - 075/11 GB 77432;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8862;8862;AGULHA GALONEIRA B 63 - 080/12 GB 77433;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8864;8864;AGULHA GALONEIRA B 63 - 100/16 GB*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8865;8865;AGULHA GALONEIRA B 63 - 110/18 GB*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8866;8866;AGULHA GALONEIRA B 63 - 120/19 GB*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8947;8947;AGULHA GALONEIRA UY 128  075/11 GB 78170;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8948;8948;AGULHA GALONEIRA UY 128  080/12 GB 70506;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8949;8949;AGULHA GALONEIRA UY 128  110/18 GB 70509**;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8951;8951;AGULHA GALONEIRA UY 128  130/21 GB 75237;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;8952;8952;AGULHA GALONEIRA UY 128  140/22 GB 70511;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;GALONEIRA;9708;9708;AGULHA GALONEIRA UY 128  100/16 GB 70508;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;18037;18037;AGULHA OVERLOQUE B 27 060/08 GB 77387;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;1888;1888;AGULHA OVERLOQUE B 27 130/21 GB 77397;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8867;8867;AGULHA OVERLOQUE B 27 065/09 GB 77388;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8868;8868;AGULHA OVERLOQUE B 27 070/10 GB 77389;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8869;8869;AGULHA OVERLOQUE B 27 075/11 GB 77390;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8870;8870;AGULHA OVERLOQUE B 27 080/12 GB 77391;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8871;8871;AGULHA OVERLOQUE B 27 090/14 GB 77393;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8872;8872;AGULHA OVERLOQUE B 27 100/16 GB 77394;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8873;8873;AGULHA OVERLOQUE B 27 110/18 GB 77395;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8874;8874;AGULHA OVERLOQUE B 27 120/19 GB 77396;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;8875;8875;AGULHA OVERLOQUE B 27 125/20 GB 77491;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;OVERLOQUE;9710;9710;AGULHA OVERLOQUE B 27 140/22 GB 77470*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PONTA DE LANCA;10861;10861;AGULHA PONTA LANÇA INF. 134 LR 120/19 GB*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PONTA DE LANCA;10862;10862;AGULHA PONTA LANÇA INF. 134 LR 130/21 GB*;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PONTA DE LANCA;9406;9406;AGULHA PONTA LANÇA 134 PCL 120/19 GB 71544;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PONTA DE LANCA;9407;9407;AGULHA PONTA LANÇA 134 PCL 130/21 GB 71546;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PREGAR BOTAO;15062;15062;AGULHA TQ X 1 110/18 GB *;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PREGAR BOTAO;17918;17918;AGULHA TQ X 1 80/12 GB 72639;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;PREGAR BOTAO;17919;17919;AGULHA TQ X 1 75/11 GB 75688;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;SAN ;15293;15293;AGULHA 134 SAN DOURADA 130/21 GB 776952;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;SAN ;1892;1892;AGULHA 134 SAN DOURADA 120/19 GB 776942;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;10078;10078;AGULHA DP X 17  090/14 PONTO FIXO GB 75278**;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;16350;16350;AGULHA DP X 17  160/23 PONTO FIXO GB 71886;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;16351;16351;AGULHA DP X 17  200/25 PONTO FIXO GB 71888;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;16355;16355;AGULHA DP X 17  100/16 PONTO FIXO GB 71901;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;16377;16377;AGULHA DP X 17   75/11 PONTO FIXO GB 75850;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;1899;1899;AGULHA PATENT 73.71 L07 T;1;1;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;8957;8957;AGULHA DP X 17  130/21 PONTO FIXO GB 76767;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;9167;9167;AGULHA DP X 17  140/22 PONTO FIXO GB 71885 ;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
AGULHAS;TRAVETI;9404;9404;AGULHA DP X 17  110/18 PONTO FIXO GB 74461;0,01;0,01;0;0;0;0;UNIDADES;UNIDADES
ARRUELAS;ARRUELAS;341;341;ARRUELAS PLASTICA P/BOTÃO ENCAPAR;1;1;0;0;0;0;MILHEIRO;MILHEIRO
BOTOES;ENCAPAR;10917;10917;BOTAO ALFA METALICO GARRA DUPLA 13MM;1;1;0;0;0;0;MILHEIRO;MILHEIRO
BOTOES;ENCAPAR;13321;13321;BOTAO 13MM EM METAL 3 GARRAS;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
